,mean,median,std,min,max,n
Romania,6.836216037697795e-09,6.802840069042304e-09,2.758010264614086e-09,9.27422749708029e-10,1.2800615678543181e-08,31.0
Germany,8.519537963991297e-09,8.507043069982956e-09,2.4488171490588684e-09,3.605200360468075e-09,1.534474591835533e-08,31.0
Italy,9.748997165104356e-09,9.147671065079521e-09,2.3249149272430714e-09,5.82100589952006e-09,1.638425750627448e-08,31.0
